year,#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
2023-24,1,Cam Thomas,BKN,1,25.0,36.0,13.0,21.0,61.9,2.0,5.0,40.0,8.0,11.0,72.7,0.0,3.0,3.0,2.0,1.0,0.0,1.0, 30.0
2023-24,2,Jayson Tatum,BOS,1,39.0,34.0,13.0,22.0,59.1,3.0,8.0,37.5,5.0,6.0,83.3,0.0,11.0,11.0,4.0,2.0,1.0,4.0, 38.0
2023-24,3,Harrison Barnes,SAC,1,33.0,33.0,11.0,16.0,68.8,5.0,7.0,71.4,6.0,6.0,100,0.0,4.0,4.0,2.0,1.0,0.0,1.0, 34.0
2023-24,3,Luka Doncic,DAL,1,34.0,33.0,13.0,25.0,52.0,3.0,11.0,27.3,4.0,7.0,57.1,1.0,12.0,13.0,10.0,2.0,0.0,4.0, 39.0
2023-24,5,Devin Booker,PHX,1,37.0,32.0,13.0,21.0,61.9,3.0,8.0,37.5,3.0,3.0,100,1.0,5.0,6.0,8.0,1.0,0.0,6.0, 33.0
2023-24,6,Desmond Bane,MEM,1,36.0,31.0,11.0,22.0,50.0,5.0,10.0,50.0,4.0,5.0,80.0,0.0,5.0,5.0,5.0,2.0,1.0,2.0, 30.0
2023-24,6,Shai Gilgeous-Alexander,OKC,1,36.0,31.0,12.0,18.0,66.7,2.0,5.0,40.0,5.0,5.0,100,0.0,5.0,5.0,10.0,1.0,2.0,1.0, 42.0
2023-24,8,Cade Cunningham,DET,1,36.0,30.0,13.0,27.0,48.1,4.0,9.0,44.4,0.0,0.0,0.0,0.0,3.0,3.0,9.0,1.0,1.0,3.0, 27.0
2023-24,8,Kristaps Porzingis,BOS,1,38.0,30.0,8.0,15.0,53.3,5.0,9.0,55.6,9.0,10.0,90.0,1.0,7.0,8.0,0.0,0.0,4.0,1.0, 33.0
2023-24,10,Nikola Jokic,DEN,1,36.0,29.0,12.0,22.0,54.5,3.0,5.0,60.0,2.0,4.0,50.0,3.0,10.0,13.0,11.0,1.0,1.0,2.0, 41.0
2023-24,11,Donovan Mitchell,CLE,1,36.0,27.0,11.0,21.0,52.4,4.0,10.0,40.0,1.0,1.0,100,2.0,3.0,5.0,6.0,4.0,1.0,0.0, 33.0
2023-24,11,Max Strus,CLE,1,39.0,27.0,9.0,17.0,52.9,7.0,13.0,53.8,2.0,2.0,100,0.0,12.0,12.0,2.0,1.0,1.0,0.0, 35.0
2023-24,11,Paul George,LAC,1,32.0,27.0,11.0,17.0,64.7,4.0,7.0,57.1,1.0,1.0,100,0.0,3.0,3.0,6.0,3.0,0.0,4.0, 29.0
2023-24,11,Stephen Curry,GSW,1,31.0,27.0,8.0,20.0,40.0,4.0,14.0,28.6,7.0,7.0,100,1.0,4.0,5.0,1.0,1.0,0.0,2.0, 20.0
2023-24,15,Anthony Edwards,MIN,1,38.0,26.0,8.0,27.0,29.6,4.0,7.0,57.1,6.0,6.0,100,5.0,9.0,14.0,1.0,0.0,0.0,2.0, 20.0
2023-24,16,Kyle Kuzma,WAS,1,25.0,25.0,9.0,18.0,50.0,1.0,4.0,25.0,6.0,6.0,100,1.0,1.0,2.0,0.0,0.0,2.0,0.0, 20.0
2023-24,16,P.J. Washington,CHA,1,32.0,25.0,12.0,18.0,66.7,1.0,6.0,16.7,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,1.0, 25.0
2023-24,18,Bruce Brown,IND,1,27.0,24.0,8.0,11.0,72.7,6.0,8.0,75.0,2.0,2.0,100,1.0,2.0,3.0,1.0,1.0,0.0,1.0, 25.0
2023-24,18,CJ McCollum,NOP,1,37.0,24.0,8.0,16.0,50.0,6.0,11.0,54.5,2.0,2.0,100,1.0,3.0,4.0,6.0,2.0,1.0,2.0, 27.0
2023-24,18,Immanuel Quickley,NYK,1,28.0,24.0,7.0,11.0,63.6,5.0,7.0,71.4,5.0,6.0,83.3,2.0,4.0,6.0,4.0,1.0,0.0,2.0, 28.0
2023-24,18,Jordan Clarkson,UTA,1,31.0,24.0,8.0,16.0,50.0,2.0,5.0,40.0,6.0,8.0,75.0,2.0,2.0,4.0,6.0,0.0,0.0,2.0, 22.0
2023-24,18,RJ Barrett,NYK,1,36.0,24.0,8.0,20.0,40.0,2.0,5.0,40.0,6.0,7.0,85.7,1.0,2.0,3.0,2.0,1.0,0.0,2.0, 15.0
2023-24,18,Terry Rozier,CHA,1,34.0,24.0,7.0,16.0,43.8,2.0,7.0,28.6,8.0,12.0,66.7,1.0,4.0,5.0,6.0,0.0,0.0,3.0, 19.0
2023-24,24,Devin Vassell,SAS,1,35.0,23.0,9.0,17.0,52.9,1.0,6.0,16.7,4.0,5.0,80.0,1.0,4.0,5.0,3.0,2.0,0.0,2.0, 22.0
2023-24,24,Kawhi Leonard,LAC,1,29.0,23.0,9.0,17.0,52.9,5.0,5.0,100,0.0,0.0,0.0,1.0,4.0,5.0,6.0,1.0,1.0,4.0, 24.0
2023-24,24,Trae Young,ATL,1,36.0,23.0,4.0,19.0,21.1,1.0,9.0,11.1,14.0,15.0,93.3,0.0,1.0,1.0,9.0,1.0,0.0,5.0, 13.0
2023-24,24,Zion Williamson,NOP,1,32.0,23.0,9.0,17.0,52.9,0.0,0.0,0.0,5.0,7.0,71.4,4.0,3.0,7.0,3.0,0.0,0.0,3.0, 20.0
2023-24,28,Bam Adebayo,MIA,1,32.0,22.0,7.0,13.0,53.8,0.0,0.0,0.0,8.0,10.0,80.0,2.0,6.0,8.0,3.0,0.0,2.0,2.0, 25.0
2023-24,28,Dennis Schroder,TOR,1,33.0,22.0,8.0,17.0,47.1,4.0,8.0,50.0,2.0,2.0,100,1.0,2.0,3.0,7.0,0.0,0.0,2.0, 21.0
2023-24,28,Domantas Sabonis,SAC,1,32.0,22.0,8.0,14.0,57.1,1.0,2.0,50.0,5.0,7.0,71.4,6.0,6.0,12.0,5.0,1.0,2.0,3.0, 31.0
2023-24,28,Kyrie Irving,DAL,1,36.0,22.0,10.0,24.0,41.7,1.0,8.0,12.5,1.0,1.0,100,0.0,2.0,2.0,6.0,1.0,0.0,2.0, 15.0
2023-24,32,Jalen Johnson,ATL,1,29.0,21.0,9.0,13.0,69.2,1.0,3.0,33.3,2.0,4.0,50.0,0.0,7.0,7.0,2.0,2.0,1.0,0.0, 27.0
2023-24,32,Jamal Murray,DEN,1,34.0,21.0,8.0,13.0,61.5,3.0,5.0,60.0,2.0,2.0,100,0.0,2.0,2.0,6.0,0.0,1.0,1.0, 24.0
2023-24,32,LeBron James,LAL,1,29.0,21.0,10.0,16.0,62.5,1.0,4.0,25.0,0.0,1.0,0.0,1.0,7.0,8.0,5.0,1.0,0.0,0.0, 28.0
2023-24,35,Cole Anthony,ORL,1,24.0,20.0,8.0,12.0,66.7,1.0,2.0,50.0,3.0,3.0,100,1.0,7.0,8.0,2.0,0.0,0.0,0.0, 26.0
2023-24,35,DeMar DeRozan,CHI,1,33.0,20.0,9.0,20.0,45.0,1.0,3.0,33.3,1.0,3.0,33.3,2.0,3.0,5.0,2.0,1.0,1.0,0.0, 16.0
2023-24,35,Ivica Zubac,LAC,1,26.0,20.0,8.0,10.0,80.0,0.0,0.0,0.0,4.0,5.0,80.0,5.0,7.0,12.0,0.0,0.0,4.0,2.0, 31.0
2023-24,35,Kentavious Caldwell-Pope,DEN,1,36.0,20.0,8.0,12.0,66.7,2.0,3.0,66.7,2.0,2.0,100,1.0,1.0,2.0,1.0,3.0,1.0,3.0, 20.0
2023-24,35,Malcolm Brogdon,POR,1,23.0,20.0,8.0,16.0,50.0,3.0,5.0,60.0,1.0,1.0,100,0.0,2.0,2.0,5.0,0.0,0.0,1.0, 18.0
2023-24,35,Mikal Bridges,BKN,1,35.0,20.0,6.0,12.0,50.0,0.0,2.0,0.0,8.0,9.0,88.9,2.0,4.0,6.0,4.0,3.0,0.0,3.0, 23.0
2023-24,35,O.G. Anunoby,TOR,1,34.0,20.0,7.0,13.0,53.8,4.0,9.0,44.4,2.0,2.0,100,0.0,6.0,6.0,1.0,2.0,3.0,2.0, 24.0
2023-24,35,Tyrese Haliburton,IND,1,27.0,20.0,9.0,16.0,56.3,2.0,6.0,33.3,0.0,0.0,0.0,0.0,3.0,3.0,11.0,1.0,2.0,3.0, 27.0
2023-24,43,Brandon Ingram,NOP,1,36.0,19.0,7.0,18.0,38.9,0.0,3.0,0.0,5.0,6.0,83.3,0.0,7.0,7.0,6.0,2.0,0.0,5.0, 17.0
2023-24,43,Franz Wagner,ORL,1,27.0,19.0,5.0,12.0,41.7,3.0,7.0,42.9,6.0,6.0,100,3.0,1.0,4.0,2.0,1.0,0.0,3.0, 16.0
2023-24,43,Jimmy Butler,MIA,1,34.0,19.0,6.0,18.0,33.3,0.0,0.0,0.0,7.0,9.0,77.8,8.0,5.0,13.0,4.0,2.0,0.0,0.0, 24.0
2023-24,43,Karl-Anthony Towns,MIN,1,36.0,19.0,8.0,25.0,32.0,2.0,10.0,20.0,1.0,1.0,100,2.0,8.0,10.0,3.0,0.0,4.0,4.0, 15.0
2023-24,43,Lauri Markkanen,UTA,1,32.0,19.0,6.0,15.0,40.0,2.0,6.0,33.3,5.0,6.0,83.3,2.0,8.0,10.0,1.0,2.0,0.0,1.0, 21.0
